id,rating,might,fights
1442279,290,9945,100
1049064,504,19830,100
1442282,179,3170,100
786923,879,29139,100
786926,515,19043,100
393713,1176,35669,100
393715,1223,35445,100
1180149,457,16918,100
393718,428,15767,100
786937,792,27000,100
262651,745,26093,100
1529258,360,12254,100
655445,1004,31566,100
1442304,344,9467,100
393732,903,29725,100
327766,186,3065,100
524806,657,24011,100
655881,718,25440,100
458839,936,30025,100
655884,1010,30575,100
393741,1137,33463,100
786958,521,18575,100
786960,618,23156,100
393751,463,15118,100
918042,759,26973,100
1049115,786,27165,100
393756,934,30842,100
918048,398,14813,100
1049124,499,16875,100
786984,452,18364,100
1180203,508,18224,100
1180205,492,19410,100
262702,790,27673,100
1258723,485,19566,100
1529267,285,8501,100
262709,650,23926,100
393782,882,29101,100
1311290,553,19328,100
852063,160,2501,100
655933,676,25525,100
1180223,133,2670,100
131648,650,23843,100
393793,701,25025,100
787011,886,29523,100
787012,548,21316,100
1442373,233,5725,100
1180233,687,25655,100
393803,885,30865,100
1442383,257,4882,100
918098,1017,32646,100
1485582,317,8120,100
1458617,422,15414,100
1398201,354,12556,100
393816,342,11244,100
1179748,346,12261,100
787034,1087,34059,100
655963,1104,32837,100
1442397,351,11488,100
393824,189,4187,100
787041,527,19729,100
1311330,274,6166,100
1442405,309,8832,100
787049,557,20212,100
655981,555,22811,100
524910,1029,32391,100
415165,254,8264,100
1311348,427,14640,100
393845,909,31140,100
1442422,53,1723,100
918135,619,21382,100
453931,833,27408,100
524922,586,22039,100
1049211,753,25439,100
1507434,273,6615,100
1180288,514,19138,100
787073,996,31707,100
787074,589,22121,100
1449042,89,2042,100
1442437,284,7335,100
393862,813,28138,100
787080,842,28498,100
1427193,148,2275,100
262797,498,19101,100
787087,376,14697,100
1049234,393,14811,100
787092,782,27502,100
656022,843,28124,100
1398212,270,5420,100
1310831,455,17960,100
656028,872,29112,100
262813,480,17645,100
787106,453,16543,100
794365,374,13188,100
656036,568,20793,100
262821,774,27195,100
918183,605,22560,100
787113,641,23881,100
262827,1010,31434,100
393900,277,7328,100
393901,686,23164,100
1470866,406,14863,100
1551133,207,4187,100
787120,838,27743,100
1049267,468,16909,100
524981,986,31867,100
787128,801,28509,100
131770,746,26167,100
1551135,37,1616,100
524989,780,27801,100
656062,739,27081,100
656066,873,28589,100
1245302,92,2139,100
918215,874,29398,100
262857,654,23289,100
1507447,195,3601,100
525004,305,8742,100
1448143,290,7072,100
131790,656,26254,100
1311442,453,16177,100
633635,620,21767,100
1180372,406,15117,100
1538746,366,10984,100
415183,879,29732,100
1442525,382,14925,100
1558158,180,2859,100
918240,747,27169,100
131810,1074,33814,100
131811,1105,33945,100
1442532,426,16276,100
525029,680,22585,100
349649,454,16885,100
393961,553,20711,100
131818,488,18598,100
393965,518,21223,100
393966,1135,34820,100
131823,588,20980,100
1311472,618,22949,100
1442545,249,4452,100
1300652,414,16564,100
1049334,530,19204,100
174889,285,7507,100
349652,616,23408,100
1549430,295,8443,100
1049345,353,12959,100
656130,875,29729,100
1180419,318,9115,100
1245313,400,13636,100
787208,599,21665,100
1180426,455,17715,100
393995,1130,34821,100
393996,1070,32745,100
1311501,442,16364,100
918286,596,21994,100
656144,916,29490,100
1180433,649,23828,100
262935,735,25688,100
525081,1181,34595,100
1180442,376,11673,100
656156,213,4581,100
262944,1026,32736,100
1180450,159,3270,100
131875,781,26595,100
