id,rating,might,fights
525544,2268,33744,500
787689,1228,25905,500
1443050,-2,2451,243
1529383,-3,1889,138
132332,488,16287,500
918765,955,22556,500
787696,881,21688,500
1180913,337,11747,500
525556,1969,31295,500
787701,1222,25686,500
656630,859,21915,500
787706,1164,25381,500
240511,2195,32960,500
1443069,7,3369,397
394494,1384,26856,500
394495,2820,36851,498
787712,1334,27050,500
1332779,745,19903,500
961409,1177,25628,500
787722,1051,23839,500
656651,2155,32778,500
394508,2135,32225,500
1180947,769,20219,500
918805,601,17211,500
525591,2022,31887,500
132376,2063,32229,500
394521,1040,24167,500
787738,1045,23402,500
394527,1537,28086,500
394529,1951,31315,500
787746,1295,26019,500
918819,2376,33962,500
918821,352,11649,500
656681,1291,26641,500
1312042,645,19108,500
1180974,1008,22709,500
787759,717,18554,500
1529395,122,5952,485
1354633,177,6867,491
1529396,38,3892,430
1213381,828,21028,500
918843,531,16562,500
132415,1926,31371,500
394560,1568,28998,500
787779,916,22227,500
263493,858,21830,500
1049926,510,15118,500
1312073,637,17913,500
1443149,526,16083,500
1049935,1441,27753,500
1443152,90,5074,473
1181010,940,21988,500
394580,2821,37143,497
132441,834,21335,500
1287579,147,6222,490
394590,243,8563,496
787809,2259,33314,500
1443170,374,11914,500
1443172,363,12524,500
132453,286,10559,499
1312102,683,18937,500
132456,1593,28471,500
132457,497,15506,500
132458,2415,33928,500
132460,2189,33114,500
1483983,452,14302,500
787823,1457,27942,500
394608,922,22399,500
1312116,397,13381,500
1409740,519,16358,500
1049977,73,4927,470
132476,2070,31948,500
787837,1594,28807,500
132479,2267,33270,500
525699,604,18268,500
656774,785,20405,500
1392329,324,11300,500
263563,2270,33234,500
1181068,798,20653,500
918925,741,19529,500
656784,820,20769,500
803119,1140,25108,500
1443220,-3,1051,70
787861,1628,29144,500
394648,1513,28078,500
1463876,235,9401,499
1443227,430,14426,500
1443232,402,13314,500
394658,2320,33794,500
394659,1733,29682,500
1181092,876,21947,500
415302,-4,2520,245
787879,848,21506,500
1181096,919,22659,500
1312177,-8,2605,264
1181106,1120,24122,500
549978,1642,29011,500
394677,1415,27510,500
787895,717,19515,500
1507572,315,11255,500
263611,514,15309,500
787900,1072,24091,500
132541,1501,28461,500
787902,1640,29152,500
1312191,707,19485,500
1181121,528,15530,500
1267275,719,20087,500
437153,1722,29252,500
132552,1667,29496,500
1181130,496,15664,500
394699,1568,28879,500
918988,-4,2190,188
787919,1317,26773,500
918993,602,17651,500
